originalFileName,newFileName,label,confidence,imageHeight,imageWidth,xPosition,yPosition,croppedHeight,croppedWidth
820lt4QfR9,820lt4QfR9_bowl_0.92.jpg,bowl,0.921548605,1080,1080,0,602,300,300
820lt4QfR9,820lt4QfR9_cup_0.91.jpg,cup,0.910664201,1080,1080,274,568,300,300
820lt4QfR9,820lt4QfR9_bowl_0.89.jpg,bowl,0.885130107,1080,1080,105,577,300,300
B--0YTRHz9d,B--0YTRHz9d_vase_0.83.jpg,vase,0.834779143,1080,1080,241,189,300,300
B--1U0oA8DY,B--1U0oA8DY_bowl_0.83.jpg,bowl,0.832873881,899,720,471,545,300,300
B--2K2YDUJ3,B--2K2YDUJ3_cup_0.85.jpg,cup,0.853430629,1080,1080,169,477,300,300
B--3W-vjHvL,B--3W-vjHvL_vase_0.99.jpg,vase,0.990608096,1076,1080,0,212,300,300
B--3W-vjHvL,B--3W-vjHvL_vase_0.99.jpg,vase,0.988473773,1076,1080,380,215,300,300
B--3W-vjHvL,B--3W-vjHvL_vase_0.98.jpg,vase,0.98316735,1076,1080,755,233,300,300
B--5wE8DEIJ,B--5wE8DEIJ_cup_0.89.jpg,cup,0.887131155,1080,1080,362,516,300,300
B--5wE8DEIJ,B--5wE8DEIJ_cup_0.85.jpg,cup,0.852879286,1080,1080,191,479,300,300
B--5wE8DEIJ,B--5wE8DEIJ_cup_0.83.jpg,cup,0.834537566,1080,1080,663,483,300,300
B--6NvqHzzh,B--6NvqHzzh_cup_0.99.jpg,cup,0.993799925,464,713,431,210,300,300
B--6NvqHzzh,B--6NvqHzzh_cup_0.99.jpg,cup,0.992891133,464,713,196,210,300,300
B--6NvqHzzh,B--6NvqHzzh_cup_0.99.jpg,cup,0.992434502,464,713,0,201,300,300
B--6OfShZKn,B--6OfShZKn_cup_0.94.jpg,cup,0.942224622,1080,1080,235,282,300,300
B--7xQrF4xi,B--7xQrF4xi_cup_0.99.jpg,cup,0.989930451,1080,1080,644,499,300,300
B--7xQrF4xi,B--7xQrF4xi_cup_0.95.jpg,cup,0.95212388,1080,1080,406,313,300,300
B--7xQrF4xi,B--7xQrF4xi_cup_0.86.jpg,cup,0.864206493,1080,1080,141,568,300,300
B--95GJjTH2,B--95GJjTH2_cup_0.97.jpg,cup,0.971840501,1080,1080,278,313,300,300
B--AL7oDKZk,B--AL7oDKZk_vase_0.80.jpg,vase,0.80077076,1080,1080,0,183,300,300
B--AlsiF0N4,B--AlsiF0N4_vase_0.98.jpg,vase,0.979028165,1080,1080,274,227,300,300
B--ApA6Bekt,B--ApA6Bekt_cup_0.97.jpg,cup,0.973414063,1080,1080,116,222,300,300
B--apbQAh5N,B--apbQAh5N_vase_0.82.jpg,vase,0.81909126,720,1080,705,338,300,300
B--AQj_DP4c,B--AQj_DP4c_cup_0.81.jpg,cup,0.813296318,845,845,213,232,300,300
B--BndQDyBA,B--BndQDyBA_vase_0.95.jpg,vase,0.95075953,1080,1080,128,466,300,300
B--Dg45DVOc,B--Dg45DVOc_vase_0.87.jpg,vase,0.871254742,767,767,0,35,300,300
B--Fxuvhw1a,B--Fxuvhw1a_cup_0.93.jpg,cup,0.930295527,1080,1080,531,560,300,300
B--hdwJp2v6,B--hdwJp2v6_cup_0.88.jpg,cup,0.881160617,1080,1080,293,527,300,300
B--hnlLBHTk,B--hnlLBHTk_vase_0.85.jpg,vase,0.849645019,1080,1080,284,270,300,300
B--IfFGpKtP,B--IfFGpKtP_vase_0.87.jpg,vase,0.870637536,1080,1080,604,96,300,300
B--iNCEDVHT,B--iNCEDVHT_vase_0.99.jpg,vase,0.993470013,1080,1080,738,387,300,300
B--iNCEDVHT,B--iNCEDVHT_vase_0.99.jpg,vase,0.989954412,1080,1080,240,355,300,300
B--iNCEDVHT,B--iNCEDVHT_vase_0.99.jpg,vase,0.987096727,1080,1080,367,313,300,300
B--iNCEDVHT,B--iNCEDVHT_vase_0.98.jpg,vase,0.984395742,1080,1080,159,579,300,300
B--iNCEDVHT,B--iNCEDVHT_vase_0.96.jpg,vase,0.963496745,1080,1080,640,298,300,300
B--iNCEDVHT,B--iNCEDVHT_vase_0.83.jpg,vase,0.831686199,1080,1080,537,530,300,300
B--j88KjAFa,B--j88KjAFa_bowl_0.91.jpg,bowl,0.914864302,1080,1080,948,628,300,300
B--jgcMoH02,B--jgcMoH02_cup_0.99.jpg,cup,0.993440866,1080,1080,92,588,300,300
B--KasNj0MW,B--KasNj0MW_vase_0.93.jpg,vase,0.928077102,1350,1080,182,0,300,300
B--KFK0INfm,B--KFK0INfm_vase_0.96.jpg,vase,0.957830429,1080,1080,88,420,300,300
B--KFK0INfm,B--KFK0INfm_vase_0.81.jpg,vase,0.80929178,1080,1080,529,318,300,300
B--KrBDpzdw,B--KrBDpzdw_cup_0.88.jpg,cup,0.880044281,1350,1080,83,621,300,300
B--L1FRjSEB,B--L1FRjSEB_cup_0.99.jpg,cup,0.993771076,1024,1024,336,305,300,300
B--L3QLj4Ev,B--L3QLj4Ev_vase_0.97.jpg,vase,0.9708938,876,1080,0,69,300,300
B--LakbjjH4,B--LakbjjH4_bowl_0.89.jpg,bowl,0.888851464,720,720,184,303,300,300
B--luQjH7HY,B--luQjH7HY_cup_0.98.jpg,cup,0.978169918,1080,1080,739,477,300,300
B--MrX5FOtM,B--MrX5FOtM_vase_0.95.jpg,vase,0.948170304,1350,1080,580,666,300,300
B--MrX5FOtM,B--MrX5FOtM_vase_0.92.jpg,vase,0.91801703,1350,1080,305,678,300,300
B--MrX5FOtM,B--MrX5FOtM_vase_0.92.jpg,vase,0.915564358,1350,1080,605,360,300,300
B--MrX5FOtM,B--MrX5FOtM_vase_0.84.jpg,vase,0.837625504,1350,1080,131,637,300,300
B--MrX5FOtM,B--MrX5FOtM_vase_0.81.jpg,vase,0.80704695,1350,1080,657,136,300,300
B--nplpjTql,B--nplpjTql_bowl_0.99.jpg,bowl,0.994002998,1080,1080,230,707,300,300
B--nplpjTql,B--nplpjTql_cup_0.86.jpg,cup,0.856014848,1080,1080,566,684,300,300
B--nvaunFEs,B--nvaunFEs_cup_0.96.jpg,cup,0.960143685,1080,1080,175,583,300,300
B--nvaunFEs,B--nvaunFEs_cup_0.93.jpg,cup,0.931717396,1080,1080,0,548,300,300
B--QB8vpSZX,B--QB8vpSZX_cup_0.81.jpg,cup,0.812991798,1080,1080,452,242,300,300
B--RUrLjYhH,B--RUrLjYhH_vase_0.89.jpg,vase,0.891298473,1080,1080,178,186,300,300
B--s0LFjjE3,B--s0LFjjE3_vase_0.98.jpg,vase,0.984168231,1080,1080,337,79,300,300
B--SlA0A_iX,B--SlA0A_iX_cup_0.99.jpg,cup,0.989537179,721,1080,301,227,300,300
B--syryjpGC,B--syryjpGC_vase_0.98.jpg,vase,0.984168231,1080,1080,337,79,300,300
B--TBqUjbtU,B--TBqUjbtU_vase_0.99.jpg,vase,0.991857588,1350,1080,645,343,300,300
B--TKgsDOMF,B--TKgsDOMF_bowl_0.89.jpg,bowl,0.889196515,1350,1080,104,539,300,300
B--uWdPHefI,B--uWdPHefI_cup_0.97.jpg,cup,0.968931973,1350,1080,0,526,300,300
B--Vus2jSDL,B--Vus2jSDL_bowl_0.94.jpg,bowl,0.939470887,556,706,182,61,300,300
B--wDsKh65j,B--wDsKh65j_cup_0.80.jpg,cup,0.802829385,1080,1080,200,99,300,300
B--WpPMj7EO,B--WpPMj7EO_cup_1.00.jpg,cup,0.996379077,1350,1080,162,855,300,300
B--XFXhjyBp,B--XFXhjyBp_vase_0.99.jpg,vase,0.985918701,1080,1080,728,339,300,300
B--YOB4jK3i,B--YOB4jK3i_cup_0.86.jpg,cup,0.863261104,1080,1080,275,176,300,300
B--Z8EfjjI6,B--Z8EfjjI6_vase_0.91.jpg,vase,0.911183596,1077,1080,537,468,300,300
B--zA-yj3eU,B--zA-yj3eU_cup_0.82.jpg,cup,0.81666106,406,720,178,55,300,300
B-0-Ah1HYVl,B-0-Ah1HYVl_bowl_0.90.jpg,bowl,0.899457455,1080,1080,241,574,300,300
B-09dR4DWK8,B-09dR4DWK8_cup_0.97.jpg,cup,0.971129477,1080,1080,841,768,300,300
B-09dR4DWK8,B-09dR4DWK8_cup_0.95.jpg,cup,0.946478784,1080,1080,804,351,300,300
B-09dR4DWK8,B-09dR4DWK8_cup_0.94.jpg,cup,0.942916155,1080,1080,103,436,300,300
B-09dR4DWK8,B-09dR4DWK8_cup_0.88.jpg,cup,0.882706583,1080,1080,462,445,300,300
B-09dR4DWK8,B-09dR4DWK8_cup_0.85.jpg,cup,0.848230422,1080,1080,478,343,300,300
B-0A9_bjNb5,B-0A9_bjNb5_vase_0.82.jpg,vase,0.822540343,1077,1080,0,84,300,300
B-0azyhjqOK,B-0azyhjqOK_cup_0.93.jpg,cup,0.925071776,1080,1080,0,141,300,300
B-0c81ijijT,B-0c81ijijT_cup_0.85.jpg,cup,0.854715407,1080,1080,616,358,300,300
B-0DSvmAVsG,B-0DSvmAVsG_bowl_0.84.jpg,bowl,0.841986179,921,921,0,435,300,300
B-0eXKsDmfa,B-0eXKsDmfa_bowl_0.94.jpg,bowl,0.935587347,1350,1080,98,373,300,300
B-0GdVcgRHi,B-0GdVcgRHi_vase_0.91.jpg,vase,0.913413227,774,774,0,82,300,300
B-0IC-mjiIZ,B-0IC-mjiIZ_cup_0.93.jpg,cup,0.929263055,1080,1080,701,0,300,300
B-0ISiADp90,B-0ISiADp90_bowl_0.97.jpg,bowl,0.973055065,1080,1080,302,360,300,300
B-0ISiADp90,B-0ISiADp90_bowl_0.96.jpg,bowl,0.961908102,1080,1080,0,257,300,300
B-0ISiADp90,B-0ISiADp90_bowl_0.95.jpg,bowl,0.949932456,1080,1080,143,168,300,300
